Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3p6.3d7.4s2"",""=""""a 2H"""""",""=""""9/2"""""",""="""""""""",""=""""22475.36"""""",""="""""""""",""="""""""""",""=""""0.921"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.4s2"",""=""""b 2D"""""",""=""""5/2"""""",""="""""""""",""=""""21920.09"""""",""="""""""""",""="""""""""",""=""""1.180"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.4s2"",""=""""b 2D"""""",""=""""3/2"""""",""="""""""""",""=""""23152.57"""""",""="""""""""",""="""""""""",""=""""0.955"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(1G).4s"",""=""""b 2G"""""",""=""""9/2"""""",""="""""""""",""=""""23184.23"""""",""="""""""""",""="""""""""",""=""""1.098"""""",""="""" 100                                                  """""",""="""""""""""
"=""3p6.3d8.(1G).4s"",""=""""b 2G"""""",""=""""7/2"""""",""="""""""""",""=""""23207.76"""""",""="""""""""",""="""""""""",""=""""0.883"""""",""="""" 100                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6F*"""""",""=""""11/2"""""",""="""""""""",""=""""23611.78"""""",""="""""""""",""="""""""""",""=""""1.466"""""",""=""""  97                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6F*"""""",""=""""9/2"""""",""="""""""""",""=""""23855.62"""""",""="""""""""",""="""""""""",""=""""1.481"""""",""=""""  78             :    18  3d7.(4F).4s.4p.(3P*)   6D*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6F*"""""",""=""""7/2"""""",""="""""""""",""=""""24326.11"""""",""="""""""""",""="""""""""",""=""""1.436"""""",""=""""  84             :    12  3d7.(4F).4s.4p.(3P*)   6D*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6F*"""""",""=""""5/2"""""",""="""""""""",""=""""24733.28"""""",""="""""""""",""="""""""""",""=""""1.336"""""",""=""""  90             :     7  3d7.(4F).4s.4p.(3P*)   6D*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6F*"""""",""=""""3/2"""""",""="""""""""",""=""""25041.16"""""",""="""""""""",""="""""""""",""=""""1.118"""""",""=""""  95                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6F*"""""",""=""""1/2"""""",""="""""""""",""=""""25232.79"""""",""="""""""""",""="""""""""",""=""""-0.622"""""",""=""""  99                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6D*"""""",""=""""9/2"""""",""="""""""""",""=""""24627.79"""""",""="""""""""",""="""""""""",""=""""1.569"""""",""=""""  78             :    17  3d7.(4F).4s.4p.(3P*)   6F*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6D*"""""",""=""""7/2"""""",""="""""""""",""=""""25269.25"""""",""="""""""""",""="""""""""",""=""""1.550"""""",""=""""  83             :    11  3d7.(4F).4s.4p.(3P*)   6F*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6D*"""""",""=""""5/2"""""",""="""""""""",""=""""25739.93"""""",""="""""""""",""="""""""""",""=""""1.612"""""",""=""""  87             :     6  3d7.(4F).4s.4p.(3P*)   6F*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6D*"""""",""=""""3/2"""""",""="""""""""",""=""""26063.11"""""",""="""""""""",""="""""""""",""=""""1.812"""""",""=""""  91                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6D*"""""",""=""""1/2"""""",""="""""""""",""=""""26250.49"""""",""="""""""""",""="""""""""",""=""""3.286"""""",""=""""  94                                                  """""",""="""""""""""
